Comment,Designator,Footprint,LCSC Part #
0.1uF,C1 C3 C6 C7,C1206,C24497
1uF,C2 C4,C1206,C1848
10uF,C5,C1206,C527365
,J2,USB-B-MICRO-SMD,C145781
10k,R1,R1206,C17414
